subject entity alias,predicate,object entity alias,notes
plantStructurePresence,{has quality measurement},measurementDatum,
plantStructurePresence,{quality of},wholePlant,
wholePlant,{is_specified_input_of},phenologicalObservingProcess,
phenologicalObservingProcess,{has_specified_output},measurementDatum,
