alias,concept uri,worksheet unique key,notes
plantStructurePresence,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,uid, setting concept uri to rdf:type means that we intend to use a translation table for values which is set in the mapping file
phenologicalObservingProcess,{phenology observing process},uid,
measurementDatum,http://purl.obolibrary.org/obo/IAO_0000109,uid,
wholePlant,http://purl.obolibrary.org/obo/PO_0000003,IndividualID,
