         112233066 function calls (106230738 primitive calls) in 96.171 seconds

   Ordered by: cumulative time
   List reduced from 588 to 59 due to restriction <0.1>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2000064    0.812    0.000    1.085    0.000 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/dtypes/inference.py:364(is_hashable)
  1000000    0.904    0.000    0.912    0.000 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/re.py:230(_compile)
  2000150    0.691    0.000    0.910    0.000 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/common.py:435(_apply_if_callable)
       40    0.002    0.000    0.765    0.019 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/frame.py:4811(merge)
       40    0.002    0.000    0.763    0.019 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/reshape/merge.py:45(merge)
      320    0.005    0.000    0.761    0.002 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/internals.py:607(to_native_types)
       40    0.001    0.000    0.704    0.018 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/reshape/merge.py:564(get_result)
       20    0.000    0.000    0.695    0.035 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/generic.py:3145(values)
       20    0.000    0.000    0.695    0.035 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/generic.py:3103(as_matrix)
       20    0.000    0.000    0.695    0.035 /Users/rjewing/.pyenv/versions/pheno_paper/lib/python2.7/site-packages/pandas/core/internals.py:3438(as_matrix)


